Nama Sukuk,Nilai Nominal (Billion Rp),Interest/ Disc rate (%),Listing Date,Mature Date,Effective Date (Month)
SUKUK MUDHARABAH BERKELANJUTAN I INTEGRA INDOCABINET TAHAP II TAHUN 2022 SERI B,25.23,9.75,2022-03-28,2027-03-25,60
SUKUK MUDHARABAH BERKELANJUTAN I MANDALA MULTIFINANCE TAHAP I TAHUN 2021,350.0,8.75,2021-06-23,2022-07-08,12
SUKUK MUDHARABAH BERKELANJUTAN I MANDALA MULTIFINANCE TAHAP II TAHUN 2022 SERI A,453.5,8.0,2022-07-07,2023-07-13,12
SUKUK MUDHARABAH BERKELANJUTAN I MANDALA MULTIFINANCE TAHAP II TAHUN 2022 SERI B,196.5,9.0,2022-07-07,2025-07-06,36
Sukuk Mudharabah Berkelanjutan I Mandala Multifinance Tahap III Tahun 2023 SERI A,300.0,7.0,2023-06-22,2024-06-29,12
Sukuk Mudharabah Berkelanjutan I Mandala Multifinance Tahap III Tahun 2023 SERI B,200.0,8.5,2023-06-22,2026-06-22,36
SUKUK MUDHARABAH BERKELANJUTAN I OKI PULP & PAPER MILLS TAHAP II TAHUN 2023 SERI A,91.415,7.0,2023-12-13,2024-12-22,12
SUKUK MUDHARABAH BERKELANJUTAN I OKI PULP & PAPER MILLS TAHAP II TAHUN 2023 SERI B,280.905,10.5,2023-12-13,2026-12-22,36
SUKUK MUDHARABAH BERKELANJUTAN I OKI PULP & PAPER MILLS TAHAP II TAHUN 2023 SERI C,127.68,11.0,2023-12-13,2028-12-22,61
SUKUK MUDHARABAH BERKELANJUTAN I PEGADAIAN TAHAP I TAHUN 2020 SERI B,49.0,7.7,2020-05-14,2023-05-13,36
SUKUK MUDHARABAH BERKELANJUTAN I PEGADAIAN TAHAP II TAHUN 2020 SERI B,103.0,7.6,2021-07-18,2023-07-08,24
SUKUK MUDHARABAH BERKELANJUTAN I PEGADAIAN TAHAP II TAHUN 2020 SERI C,80.5,7.95,2020-07-09,2025-07-08,60
SUKUK MUDHARABAH BERKELANJUTAN I PEGADAIAN TAHAP III TAHUN 2020 SERI A,704.0,5.5,2020-05-04,2021-10-02,17
SUKUK MUDHARABAH BERKELANJUTAN I PEGADAIAN TAHAP III TAHUN 2020 SERI B,131.0,6.45,2020-09-22,2023-09-22,36
SUKUK MUDHARABAH BERKELANJUTAN I PEGADAIAN TAHAP IV TAHUN 2021 SERI B,165.8,6.2,2021-04-07,2024-04-06,36
SUKUK MUDHARABAH BERKELANJUTAN I PNM TAHAP I TAHUN 2021 SERI B,515.0,18.025,2021-07-08,2024-07-18,36
SUKUK MUDHARABAH BERKELANJUTAN I PNM TAHAP I TAHUN 2021 SERI C,327.0,13.08,2021-07-08,2026-07-18,61
SUKUK MUDHARABAH BERKELANJUTAN I PTPP TAHAP I TAHUN 2021 SERI A,400.0,8.5,2021-07-05,2024-07-02,36
SUKUK MUDHARABAH BERKELANJUTAN I PTPP TAHAP I TAHUN 2021 SERI B,100.0,9.1,2021-07-05,2026-07-02,60
SUKUK MUDHARABAH BERKELANJUTAN I PTPP TAHAP II TAHUN 2022 SERI A,60.0,6.5,2022-04-25,2025-04-22,36
SUKUK MUDHARABAH BERKELANJUTAN I PTPP TAHAP II TAHUN 2022 SERI B,305.0,7.75,2022-04-25,2027-04-22,60
SUKUK MUDHARABAH BERKELANJUTAN I SARANA MULTI INFRASTRUKTUR TAHAP III TAHUN 2019 SERI B,417.0,9.33,2019-08-29,2022-08-28,36
SUKUK MUDHARABAH BERKELANJUTAN I SARANA MULTI INFRASTRUKTUR TAHAP III TAHUN 2019 SERI C,84.0,8.1,2019-08-29,2024-08-28,60
SUKUK MUDHARABAH BERKELANJUTAN I SARANA MULTI INFRASTRUKTUR TAHAP III TAHUN 2019 SERI D,76.0,8.5,2019-08-29,2026-08-28,85
SUKUK MUDHARABAH BERKELANJUTAN I SARANA MULTIGRIYA FINANSIAL TAHAP II TAHUN 2020,346.0,6.75,2019-06-25,2021-07-24,25
SUKUK MUDHARABAH BERKELANJUTAN I SARANA MULTIGRIYA FINANSIAL TAHAP III TAHUN 2021,100.01,4.75,2021-02-10,2022-02-20,12
SUKUK MUDHARABAH BERKELANJUTAN I SMI TAHAP I TAHUN 2018 SERI B,320.0,7.8,2018-07-06,2023-07-06,60
SUKUK MUDHARABAH BERKELANJUTAN I SMI TAHAP II TAHUN 2019 SERI B,760.0,8.5,2019-03-21,2022-03-21,36
SUKUK MUDHARABAH BERKELANJUTAN I WIJAYA KARYA TAHAP I TAHUN 2020 SERI B,159.0,9.25,2020-12-21,2025-12-18,60
SUKUK MUDHARABAH BERKELANJUTAN I WIJAYA KARYA TAHAP II TAHUN 2021 SERI A,134.3,8.5,2021-03-04,2026-03-03,60
SUKUK MUDHARABAH BERKELANJUTAN I WIJAYA KARYA TAHAP II TAHUN 2021 SERI C,154.1,9.75,2021-03-04,2028-03-03,85
SUKUK MUDHARABAH BERKELANJUTAN II ADIRA FINANCE TAHAP III TAHUN 2017 SERI C,7.0,8.9,2017-03-22,2022-03-22,60
SUKUK MUDHARABAH BERKELANJUTAN II INDAH KIAT PULP & PAPER TAHAP I TAHUN 2022 SERI B,401.43,9.5,2022-08-08,2025-08-05,36
SUKUK MUDHARABAH BERKELANJUTAN II INDAH KIAT PULP & PAPER TAHAP II TAHUN 2022 SERI A,481.06,6.0,2022-10-12,2023-10-21,12
SUKUK MUDHARABAH BERKELANJUTAN II INDAH KIAT PULP & PAPER TAHAP II TAHUN 2022 SERI C,69.375,10.25,2022-10-12,2027-10-11,60
SUKUK MUDHARABAH BERKELANJUTAN II INDAH KIAT PULP & PAPER TAHAP IV TAHUN 2023 SERI A,106.885,7.0,2023-01-30,2024-02-07,12
SUKUK MUDHARABAH BERKELANJUTAN II INDAH KIAT PULP & PAPER TAHAP IV TAHUN 2023 SERI B,501.585,10.5,2023-01-30,2026-01-27,36
SUKUK MUDHARABAH BERKELANJUTAN II INDAH KIAT PULP & PAPER TAHAP IV TAHUN 2023 SERI C,67.04,11.0,2023-01-30,2028-01-27,60
SUKUK MUDHARABAH BERKELANJUTAN II PEGADAIAN TAHAP I TAHUN 2022 SERI A,671.0,3.6,2022-04-27,2023-05-06,12
SUKUK MUDHARABAH BERKELANJUTAN II PEGADAIAN TAHAP I TAHUN 2022 SERI B,320.0,5.35,2022-04-27,2025-04-26,36
SUKUK MUDHARABAH BERKELANJUTAN II PEGADAIAN TAHAP II TAHUN 2022 SERI A,878.0,6.9299,2022-08-18,2023-08-16,12
SUKUK MUDHARABAH BERKELANJUTAN II PEGADAIAN TAHAP II TAHUN 2022 SERI B,245.0,10.0878,2022-08-18,2025-08-16,36
SUKUK MUDHARABAH BERKELANJUTAN II PEGADAIAN TAHAP III TAHUN 2023,605.0,5.8,2023-06-19,2024-06-26,12
SUKUK MUDHARABAH BERKELANJUTAN II PEGADAIAN TAHAP IV TAHUN 2023,235.04,5.9,2023-08-25,2026-08-24,36
SUKUK MUDHARABAH BERKELANJUTAN II SARANA MULTIGRIYA FINANSIAL TAHAP I TAHUN 2021,100.0,5.15,2021-07-08,2023-07-08,24
SUKUK MUDHARABAH BERKELANJUTAN II WIJAYA KARYA TAHAP I TAHUN 2021 SERI A,325.5,8.25,2021-09-09,2024-09-08,36
SUKUK MUDHARABAH BERKELANJUTAN II WIJAYA KARYA TAHAP I TAHUN 2021 SERI B,91.5,8.55,2021-09-09,2026-09-08,60
SUKUK MUDHARABAH BERKELANJUTAN II WIJAYA KARYA TAHAP I TAHUN 2021 SERI C,333.0,9.25,2021-09-09,2028-09-08,85
SUKUK MUDHARABAH BERKELANJUTAN II WIJAYA KARYA TAHAP II TAHUN 2022 SERI A,412.9,6.5,2022-02-21,2025-02-18,36
SUKUK MUDHARABAH BERKELANJUTAN II WIJAYA KARYA TAHAP II TAHUN 2022 SERI B,176.05,7.75,2022-02-21,2027-02-18,60
SUKUK MUDHARABAH BERKELANJUTAN II WIJAYA KARYA TAHAP II TAHUN 2022 SERI C,161.05,8.3,2022-02-21,2029-02-18,85
SUKUK MUDHARABAH BERKELANJUTAN III ADIRA FINANCE TAHAP II TAHUN 2018 SERI B,62.0,7.4,2017-12-04,2021-03-21,40
SUKUK MUDHARABAH BERKELANJUTAN III ADIRA FINANCE TAHAP II TAHUN 2018 SERI C,29.0,7.4,2018-03-22,2023-03-21,60
SUKUK MUDHARABAH BERKELANJUTAN III ADIRA FINANCE TAHAP III TAHUN 2019 SERI C,32.0,9.5,2019-01-23,2024-01-23,60
SUKUK MUDHARABAH BERKELANJUTAN III ADIRA FINANCE TAHAP IV TAHUN 2019 SERI B,10.0,8.6,2019-04-18,2022-04-16,36
SUKUK MUDHARABAH BERKELANJUTAN III ADIRA FINANCE TAHAP IV TAHUN 2019 SERI C,14.0,9.15,2019-04-18,2024-04-16,60
SUKUK MUDHARABAH BERKELANJUTAN III INDAH KIAT PULP & PAPER TAHAP III TAHUN 2023 SERI A,87.21,6.75,2023-11-22,2024-12-01,12
SUKUK MUDHARABAH BERKELANJUTAN III INDAH KIAT PULP & PAPER TAHAP III TAHUN 2023 SERI B,303.56,10.25,2023-11-22,2026-11-21,36
SUKUK MUDHARABAH BERKELANJUTAN III INDAH KIAT PULP & PAPER TAHAP III TAHUN 2023 SERI C,4.52,10.75,2023-11-22,2028-11-21,60
SUKUK MUDHARABAH BERKELANJUTAN INDONESIA EXIMBANK I TAHAP I TAHUN 2018 SERI B,365.0,7.5,2018-05-25,2021-06-06,36
SUKUK MUDHARABAH BERKELANJUTAN INDONESIA EXIMBANK I TAHAP II TAHUN 2018 SERI B,250.0,8.75,2018-11-08,2021-11-08,36
SUKUK MUDHARABAH BERKELANJUTAN INDONESIA EXIMBANK I TAHAP II TAHUN 2018 SERI C,14.0,9.25,2018-11-09,2023-11-08,60
SUKUK MUDHARABAH BERKELANJUTAN INDONESIA EXIMBANK I TAHAP II TAHUN 2018 SERI D,155.0,9.75,2018-11-09,2025-11-08,85
SUKUK MUDHARABAH BERKELANJUTAN INDONESIA EXIMBANK I TAHAP III TAHUN 2019 SERI C,66.0,8.9,2019-04-24,2024-04-23,60
SUKUK MUDHARABAH BERKELANJUTAN IV ADIRA FINANCE TAHAP I TAHUN 2020,200.0,6.9,2020-07-07,2021-07-17,12
SUKUK MUDHARABAH BERKELANJUTAN IV ADIRA FINANCE TAHAP II TAHUN 2021 SERI A,134.0,4.25,2021-07-23,2024-08-03,36
SUKUK MUDHARABAH BERKELANJUTAN IV ADIRA FINANCE TAHAP II TAHUN 2021 SERI B,66.0,5.5,2021-07-23,2024-07-23,36
SUKUK MUDHARABAH BERKELANJUTAN IV ADIRA FINANCE TAHAP III TAHUN 2022 SERI A,153.0,3.5,2022-03-23,2023-03-22,12
SUKUK MUDHARABAH BERKELANJUTAN IV ADIRA FINANCE TAHAP III TAHUN 2022 SERI B,49.0,5.6,2022-03-23,2025-03-22,36
SUKUK MUDHARABAH BERKELANJUTAN IV ADIRA FINANCE TAHAP III TAHUN 2022 SERI C,98.0,6.25,2022-03-23,2027-03-22,60
SUKUK MUDHARABAH BERKELANJUTAN V ADIRA FINANCE TAHAP II TAHUN 2023 SERI A,251.17,6.15,2023-11-10,2024-11-19,12
SUKUK MUDHARABAH BERKELANJUTAN V ADIRA FINANCE TAHAP II TAHUN 2023 SERI B,48.73,6.5,2023-11-10,2026-11-09,36
SUKUK MUDHARABAH BERKELANJUTAN V ADIRA FINANCE TAHAP II TAHUN 2023 SERI C,0.1,6.55,2023-11-10,2028-11-09,60
SUKUK MUDHARABAH I ARMADIAN TRITUNGGAL TAHUN 2023,2000.0,9.75,2023-11-27,2025-11-24,24
SUKUK MUDHARABAH I PINDO DELI PULP AND PAPER MILLS TAHUN 2022 SERI A,413.57,6.75,2022-07-15,2023-07-14,12
SUKUK MUDHARABAH I PINDO DELI PULP AND PAPER MILLS TAHUN 2022 SERI B,436.055,10.25,2022-07-15,2025-07-14,36
SUKUK MUDHARABAH I PINDO DELI PULP AND PAPER MILLS TAHUN 2022 SERI C,150.375,11.0,2022-07-15,2027-07-14,60
SUKUK MUDHARABAH I WASKITA KARYA TAHUN 2022 SERI A,383.0,6.35,2022-05-13,2027-05-12,60
SUKUK MUDHARABAH I WASKITA KARYA TAHUN 2022 SERI B,765.1,7.55,2022-05-13,2025-05-12,36
SUKUK MUDHARABAH II BANK SULSELBAR TAHUN 2016,50.0,9.35,2016-06-29,2021-07-15,61
SUKUK MUDHARABAH II OKI PULP & PAPER MILLS TAHUN 2022 SERI A,627.0,6.75,2022-11-07,2023-11-14,12
SUKUK MUDHARABAH II OKI PULP & PAPER MILLS TAHUN 2022 SERI B,255.185,10.5,2022-11-07,2025-11-04,36
SUKUK MUDHARABAH II OKI PULP & PAPER MILLS TAHUN 2022 SERI C,3.675,11.0,2022-11-07,2027-11-04,60
SUKUK MUDHARABAH II PINDO DELI PULP AND PAPER MILLS TAHUN 2023 SERI A,450.985,8.25,2024-01-04,2025-01-13,12
SUKUK MUDHARABAH II PINDO DELI PULP AND PAPER MILLS TAHUN 2023 SERI B,447.52,10.75,2024-01-04,2027-01-03,36
SUKUK MUDHARABAH II PINDO DELI PULP AND PAPER MILLS TAHUN 2023 SERI C,101.495,11.25,2024-01-04,2029-01-03,60
SUKUK MUDHARABAH LONTAR PAPYRUS PULP & PAPER INDUSTRY I TAHUN 2018 SERI A,500.0,10.0,2018-09-28,2021-10-10,36
SUKUK MUDHARABAH LONTAR PAPYRUS PULP & PAPER INDUSTRY I TAHUN 2018 SERI B,2000.0,11.0,2018-10-10,2023-10-10,60
SUKUK MUDHARABAH OKI PULP & PAPER MILLS I TAHUN 2021 SERI A,70.0035,7.25,2021-07-09,2022-07-14,12
SUKUK MUDHARABAH OKI PULP & PAPER MILLS I TAHUN 2021 SERI B,234.605,9.5,2021-07-09,2024-07-08,36
SUKUK MUDHARABAH OKI PULP & PAPER MILLS I TAHUN 2021 SERI C,65.36,10.25,2021-07-09,2026-07-08,60
SUKUK MUSYARAKAH BERKELANJUTAN I SARANA MULTIGRIYA FINANSIAL TAHAP I TAHUN 2023,170.5,6.05,2023-07-13,2028-07-12,60
SUKUK MUSYARAKAH BERWAWASAN SOSIAL BERKELANJUTAN I SARANA MULTIGRIYA FINANSIAL TAHAP I TAHUN 2023,200.0,6.9,2023-12-27,2028-12-22,60
SUKUK WAKALAH BERKELANJUTAN I MEDCO POWER INDONESIA TAHAP I TAHUN 2022 SERI A,280.0,8.0,2022-08-05,2025-08-04,36
SUKUK WAKALAH BERKELANJUTAN I MEDCO POWER INDONESIA TAHAP I TAHUN 2022 SERI B,220.0,9.25,2022-08-05,2027-08-04,60
SUKUK WAKALAH BERKELANJUTAN I MEDCO POWER INDONESIA TAHAP II TAHUN 2022 SERI A,469.69,9.0,2023-01-02,2025-12-30,36
SUKUK WAKALAH BERKELANJUTAN I MEDCO POWER INDONESIA TAHAP II TAHUN 2022 SERI B,130.31,9.5,2023-01-02,2027-12-30,60
SUKUK WAKALAH BERKELANJUTAN I MNC ENERGY INVESTMENTS TAHAP I TAHUN 2023 SERI A,100.0,10.75,2023-10-09,2024-10-16,12
SUKUK WAKALAH BERKELANJUTAN I MNC ENERGY INVESTMENTS TAHAP I TAHUN 2023 SERI B,49.3,11.25,2023-10-09,2026-10-06,36
SUKUK WAKALAH BERKELANJUTAN I MNC ENERGY INVESTMENTS TAHAP I TAHUN 2023 SERI C,100.7,11.5,2023-10-09,2028-10-06,60
SUKUK WAKALAH BI AL-ISTITSMAR I CIMB NIAGA AUTO FINANCE TAHUN 2023 SERI A,700.0,6.25,2023-02-08,2024-02-18,12
SUKUK WAKALAH BI AL-ISTITSMAR I CIMB NIAGA AUTO FINANCE TAHUN 2023 SERI B,300.0,7.15,2023-02-08,2028-02-08,60
SUKUK WAKALAH MEDCO POWER INDONESIA I TAHUN 2018 SERI A,153.0,9.75,2018-06-28,2021-07-04,36
SUKUK WAKALAH MEDCO POWER INDONESIA I TAHUN 2018 SERI B,404.0,10.25,2018-07-05,2023-07-04,60
SUKUK WAKALAH MEDCO POWER INDONESIA I TAHUN 2018 SERI C,43.0,10.75,2018-07-05,2025-07-04,85
SUKUK WAKALAH MEDCO POWER INDONESIA II TAHUN 2019 SERI A,832.7,10.0,2019-05-24,2022-05-23,36
SUKUK WAKALAH MEDCO POWER INDONESIA II TAHUN 2019 SERI B,7.0,10.55,2019-05-24,2024-05-23,60
SUKUK WAKALAH MEDCO POWER INDONESIA II TAHUN 2019 SERI C,10.3,11.1,2019-05-24,2026-05-23,85
